,Municipio,Departamento,Entidad,País,Fundación,Erección,Superficie (km²),Altitud Media (m.s.n.m),Población Total (hab),Pobl. Urbana (hab),Densidad (hab/km²),Coordenadas,Clima,Gentilicio,Alcalde,Código Postal,Huso horario
0,Bogotá,Cundinamarca,Capital de Colombia,Colombia,1538-08-06 00:00:00,1548-12-03 00:00:00,1775.0,2640.0,7743955.0,7412566.0,4907.45,4°36′46″N 74°04′14″O,Oceánico mediterráneo  Csb,"Bogotano, -na",Claudia López,110111,UTC-5
1,Medellín,Antioquia,Distrito,Colombia,1616-03-02 00:00:00,1813-08-21 00:00:00,382.0,1495.0,2533424.0,2501470.0,6643.39,6°14′41″N  75°34′29″O,Tropical monzónico  Am   Subtropical húmedo  Cfa  22 °C (promedio),Medellinense,Daniel Quintero Calle,50035,UTC  -5
2,Cali Santiago de Cali,Valle del Cauca,Distrito,Colombia,1536-07-25 00:00:00,1559-06-17 00:00:00,564.0,1018.0,2445281.0,2408653.0,4382.05,3°26′24″N 76°31′11″O,Tropical seco  As,"Caleño, -ña",Jorge Iván Ospina,760036,UTC  -5
3,Barranquilla,Atlántico,Distrito,Colombia,1627,1813-04-07 00:00:00,154.0,18.0,2274250.0,2273646.0,8274.35,10°57′50″N  74°47′47″O,Tropical seco Aw,"Barranquillero, ra",Jaime Pumarejo Heins,80001,UTC-5
4,Cartagena de Indias,Bolívar,Distrito,Colombia,1533-06-01 00:00:00,1533,609.1,2.0,1028736.0,914552.0,1811.91,10°25′25″N 75°31′31″O,Semiárido cálido  BSh,"Cartagenero, -a",William Dau Chamat,130010,UTC-5
5,Cúcuta,Norte de Santander,Municipio,Colombia,1733-06-17 00:00:00,1734-11-20 00:00:00,1119.0,320.0,777106.0,748948.0,637.76,7°54′27″N 72°30′17″O,Semiárido cálido  BSh,"Cucuteño, -ña",Jairo Tomás Yáñez Rodríguez,540001,UTC  -5
6,Soacha,Cundinamarca,Municipio,Colombia,1600,1875,184.45,2565.0,660179.0,655025.0,5409.07,4°34′41″N  74°12′52″O,Oceánico mediterráneo  Csb,"Suachuno, -a",Juan Carlos Saldarriaga,250051,UTC −5
7,Soledad,Atlántico,Municipio,Colombia,1598-03-08 00:00:00,1824,67.0,5.0,666109.0,665535.0,6802.93,10°54′35″N  74°47′09″O,Tropical seco  Aw,"Soledeño, -a",Rodolfo Ucros Rosales,83001,UTC  -5
8,Bucaramanga,Santander,Municipio,Colombia,1622-12-22 00:00:00,1857,162.0,959.0,612274.0,599106.0,3587.22,7°07′07″N  73°06′58″O,Tropical seco  As,Bumangués -a,Juan Carlos Cárdenas Rey,680001,UTC  -5
9,Bello,Antioquia,Municipio,Colombia,1676,1913,149.0,1310.0,522264.0,495483.0,2610.22,6°19′55″N  75°33′29″O,Tropical monzónico  Am,Bellanita(o),Oscar Andrés Pérez Muñoz,51050,UTC  -5
10,Villavicencio,Meta,Municipio,Colombia,1840-04-06 00:00:00,1909,1338.0,467.0,552010.0,547983.0,397.34,4°08′33″N  73°37′46″O,Tropical monzónico  Am,Villavicense,Felipe Harman,500001,UTC  -5
11,Ibagué,Tolima,Municipio,Colombia,1550-10-14 00:00:00,1606,1439.0,1285.0,541101.0,501991.0,361.22,4°26′16″N  75°12′02″O,Tropical monzónico  Am,"Ibaguereño, -ña",Andrés Fabián Hurtado,730001,UTC  -5
12,Santa Marta,Magdalena,Distrito,Colombia,1525-07-29 00:00:00,1525,2393.35,15.0,538612.0,484025.0,1755.68,11°14′10″N  74°12′06″O,Semiárido cálido  BSh,"Samario, -a",Virna Johnson,470001,UTC  -5
13,Valledupar,Cesar,Municipio,Colombia,1550-01-06 00:00:00,,4977.0,180.0,544134.0,,109.33,10°27′37″N  73°15′35″O,,Valduparense,Mello Castro González,200001,Horario del este de Norteamérica
14,Montería,Córdoba,Municipio,Colombia,1777-05-01 00:00:00,1923,3141.0,18.0,505334.0,395184.0,160.88,8°45′36″N  75°53′08″O,Tropical seco  Aw,"Monteriano, -a",Carlos Ordosgoitia Sanin,230001,UTC  -5
15,Pereira,Risaralda,Municipio,Colombia,1863-08-30 00:00:00,,702.0,1411.0,477027.0,399283.0,841.25,4°48′51″N  75°41′40″O,Tropical monzónico  Am Oceánico mediterráneo  Csb,"Pereirano, -a",Carlos Alberto Maya López,660001,UTC  -5
16,Manizales,Caldas,Municipio,Colombia,1849-10-12 00:00:00,,571.84,2200.0,434403.0,405234.0,759.66,5°03′58″N  75°29′05″O,Oceánico mediterráneo  Csb  17°C promedio.,"Manizaleño,-a",Carlos Mario Marín Correa,854010,UTC  -5
17,Pasto San Juan de Pasto,Nariño,Municipio,Colombia,1537-06-24 00:00:00,1537,1181.0,2527.0,460638.0,386598.0,390.04,1°12′36″N  77°16′29″O,Oceánico mediterráneo  Csb  14 °C (promedio),"Pastuso, -a Pastense",Germán Chamorro de la Rosa,520017,UTC  -5
18,Neiva,Huila,Municipio,Colombia,1612-05-24 00:00:00,,1553.0,442.0,367401.0,343194.0,227.32,2°55′39″N  75°17′15″O,Tropical seco  As,"Neivano, -a",Gorky Muñoz Calderon,410001,UTC  -5
19,Palmira,Valle del Cauca,Municipio,Colombia,1680,1824,1123.0,1001.0,310608.0,249096.0,311.04,3°32′05″N  76°17′44″O,Tropical seco  As,"Palmirano, -a, Palmireño -a",Óscar Eduardo Escobar García,763531,UTC  -5
20,Popayán,Cauca,Municipio,Colombia,1537-01-13 00:00:00,1537,512.0,1760.0,318059.0,254966.0,587.57,2°26′28″N 76°36′22″O,Oceánico mediterráneo  Csb,"payanés/payanesa,  patojo/patoja, popayanejo/popayaneja",Juan Carlos López Castrillón,190001,UTC  -5
21,Buenaventura,Valle del Cauca,Distrito,Colombia,1540-07-14 00:00:00,,6078.0,7.0,308188.0,235064.0,69.75,3°52′38″N  77°01′36″O,Ecuatorial  Af,"Bonaverense, Porteño(a)",Víctor Hugo Vidal,764501,UTC  -5
22,Floridablanca,Santander,Municipio,Colombia,1817-11-07 00:00:00,1858-01-08 00:00:00,97.0,925.0,316200.0,316922.0,2754.33,7°04′11″N  73°05′52″O,Tropical seco  As,"Florideño, -a",Miguel Moreno,763560,UTC  -5
23,Armenia,Quindío,Municipio,Colombia,1889-10-14 00:00:00,1903,650.0,1551.0,304314.0,296259.0,2151.61,4°32′20″N  75°40′21″O,Oceánico mediterráneo  Csb Tropical monzónico  Am,"Cuyabro Armenio, -a",José Manuel Ríos Morales,630001,UTC  -5
24,Sincelejo,Sucre,Municipio,Colombia,1776-11-21 00:00:00,1897,284.4,213.0,286716.0,269267.0,1042.6,9°17′58″N  75°23′45″O,Tropical seco  Aw,"Sincelejano, -a",Andrés Gómez Martínez,700001,UTC  -5
25,Itagüí,Antioquia,Municipio,Colombia,1743,1832-03-20 00:00:00,21.09,1550.0,276744.0,247918.0,11.0,6°10′21″N  75°36′35″O,Tropical monzónico  Am,"Itagüiseño, -a",José Fernando Escobar Estrada,0,UTC  -5
